Sample_Name,Sample_ID,Sample_Type,Sample_Subtype,Fjord_Glacier_Type,Latitude,Longitude,Date,Time,Year,ppm,pH,Temperature_[°C],Conductivity_[mS],Sampling_duration_[h],Volume_sampled_[mL],Elevation_[m],Filter_type,Researcher,Notes
S01 dil100,GF23_NA_s_1,soil,High_Top,NA,60.98054498,-45.97662801,18.08.23,15:35:00,2023,NA,NA,NA,NA,NA,NA,NA,NA,Enrico van der Loo,NA
S02 dil100,GF23_NA_s_2,soil,High_Mid,NA,60.98054498,-45.97662801,18.08.23,15:35:00,2023,NA,NA,NA,NA,NA,NA,NA,NA,Enrico van der Loo,NA
S03 dil100,GF23_NA_s_3,soil,High_Bot,NA,60.98054498,-45.97662801,18.08.23,15:35:00,2023,NA,NA,NA,NA,NA,NA,NA,NA,Enrico van der Loo,NA
S04 dil100,GF23_NA_s_4,soil,High_Top,NA,60.980173,-45.97691702,18.08.23,16:15:00,2023,NA,NA,NA,NA,NA,NA,NA,NA,Enrico van der Loo,NA
S05 dil100,GF23_NA_s_5,soil,High_Mid,NA,60.980173,-45.97691702,18.08.23,16:15:00,2023,NA,NA,NA,NA,NA,NA,NA,NA,Enrico van der Loo,NA
S06,GF23_NA_s_6,soil,High_Bot,NA,60.980173,-45.97691702,18.08.23,16:15:00,2023,NA,NA,NA,NA,NA,NA,NA,NA,Enrico van der Loo,NA
S07,GF23_NA_s_7,soil,High_Top,NA,60.98028397,-45.97794003,18.08.23,16:38:00,2023,NA,NA,NA,NA,NA,NA,NA,NA,Enrico van der Loo,NA
S08,GF23_NA_s_8,soil,High_Mid,NA,60.98028397,-45.97794003,18.08.23,16:38:00,2023,NA,NA,NA,NA,NA,NA,NA,NA,Enrico van der Loo,NA
S09,GF23_NA_s_9,soil,High_Bot,NA,60.98028397,-45.97794003,18.08.23,16:38:00,2023,NA,NA,NA,NA,NA,NA,NA,NA,Enrico van der Loo,NA
S10 dil100,GF23_NA_s_10,soil,Low_Top,NA,60.95552199,-46.01960597,19.08.23,17:16:00,2023,NA,NA,NA,NA,NA,NA,NA,NA,Enrico van der Loo,NA
S11,GF23_NA_s_11,soil,Low_Mid,NA,60.95552199,-46.01960597,19.08.23,17:16:00,2023,NA,NA,NA,NA,NA,NA,NA,NA,Enrico van der Loo,NA
S12,GF23_NA_s_12,soil,Low_Bot,NA,60.95552199,-46.01960597,19.08.23,17:16:00,2023,NA,NA,NA,NA,NA,NA,NA,NA,Enrico van der Loo,NA
S13,GF23_NA_s_13,soil,Low_Top,NA,60.95495,-46.02134999,19.08.23,17:57:00,2023,NA,NA,NA,NA,NA,NA,NA,NA,Enrico van der Loo,NA
S14,GF23_NA_s_14,soil,Low_Mid,NA,60.95495,-46.02134999,19.08.23,17:57:00,2023,NA,NA,NA,NA,NA,NA,NA,NA,Enrico van der Loo,NA
S15,GF23_NA_s_15,soil,Low_Bot,NA,60.95495,-46.02134999,19.08.23,17:57:00,2023,NA,NA,NA,NA,NA,NA,NA,NA,Enrico van der Loo,NA
S16,GF23_NA_s_16,soil,Low_Top,NA,60.95408097,-46.022631,19.08.23,18:35:00,2023,NA,NA,NA,NA,NA,NA,NA,NA,Enrico van der Loo,NA
S17,GF23_NA_s_17,soil,Low_Mid,NA,60.95408097,-46.022631,19.08.23,18:35:00,2023,NA,NA,NA,NA,NA,NA,NA,NA,Enrico van der Loo,NA
S18,GF23_NA_s_18,soil,Low_Bot,NA,60.95408097,-46.022631,19.08.23,18:35:00,2023,NA,NA,NA,NA,NA,NA,NA,NA,Lisa Bröder,NA
S19,GF23_IG_s_19,soil,NA,NA,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,Lisa Bröder,NA
S20,GF23_IG_s_20,soil,NA,land,60.97159167,-45.05221944,28.05.23,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,Lisa Bröder,NA
S21,GF23_IG_s_21,soil,NA,land,61.00504,-45.40731,03.06.23,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,Lisa Bröder,NA
S22,GF23_IG_s_22,soil,NA,land,60.90886111,-45.23655833,31.05.23,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,Lisa Bröder,NA
S23,GF23_IG_s_23,soil,NA,land,60.90906111,-45.23541389,31.05.23,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,Lisa Bröder,NA
S24,GF23_IG_s_24,soil,NA,land,61.02178333,-45.38401389,05.06.23,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,Lisa Bröder,NA
S25,GF23_IG_s_25,soil,NA,land,60.90985,-45.23406389,31.05.23,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,Lisa Bröder,NA
S26,GF22_IG_s_26,soil,NA,land,61.022179,-45.403349,26.08.22,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,Virginie Marques,not really soil - coarse around river
S27,GF22_IG_s_27,soil,NA,land,61.004194,-45.4087,26.08.22,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,Virginie Marques,NA
S28,GF22_IG_s_28,soil,NA,land,60.911623,-45.243968,27.08.22,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,Virginie Marques,"rocks only around river, further away for soil. No cross shape and varying elevation (no flat)"
S29 dil100,GF22_IG_s_29,soil,NA,land,60.909381,-45.256115,27.08.22,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,Virginie Marques,NA
S30,GF22_IG_s_30,soil,NA,land,61.19715,-45.337383,30.08.22,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,Virginie Marques,NA
Ext Ctrl 1 S,GF_EXTNTC_Soil,control,extraction,NA,NA,NA,03.10.23,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,Enrico van der Loo,NA
C-PCR-soil-1,GF_PCRNTC_Soil_1,control,PCR,NA,NA,NA,09.11.23,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,Enrico van der Loo,NA
C-PCR-soil-2,GF_PCRNTC_Soil_2,control,PCR,NA,NA,NA,17.11.23,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,Enrico van der Loo,NA
