Cluster,Group,Year,Lat,Lon,Location,Type,Time,Station ID,Link to paper,icon,text_color,background_color,Extra
Land,Land,2022,61.02,-45.401,Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2022,61.013,-45.406,Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2022,61.004,-45.408,Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2022,61.004,-45.408,Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2022,60.979,-45.344,Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2022,60.976,-45.357,Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2022,60.984,-45.362,Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2022,60.919,-45.258,Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2022,60.913,-45.237,Non-Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2022,60.911,-45.244,Non-Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2022,60.909,-45.256,Non-Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2022,60.988,-45.919,Stream Narsaq,Water,,,,droplet,black,#FA9F42,
Land,Land,2022,60.979,-45.974,Stream Narsaq,Water,,,,droplet,black,#FA9F42,
Land,Land,2022,60.939,-46.043,Stream Narsaq,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,60.977,-45.05,Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,60.97,-45.055,Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,60.91,-45.235,Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,60.91,-45.235,Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,60.91,-45.239,Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,60.91,-45.236,Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,60.91,-45.236,Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,61.012,-44.988,Glacial Stream Igaliku Fjord,Ice,,,,snowflake,black,#FA9F42,
Land,Land,2023,61.012,-44.988,Glacial Stream Igaliku Fjord,Ice,,,,snowflake,black,#FA9F42,
Land,Land,2023,61.012,-44.988,Glacial Stream Igaliku Fjord,Ice,,,,snowflake,black,#FA9F42,
Land,Land,2023,61.012,-44.988,Glacial Stream Igaliku Fjord,Ice,,,,snowflake,black,#FA9F42,
Land,Land,2023,61.012,-44.988,Glacial Stream Igaliku Fjord,Ice,,,,snowflake,black,#FA9F42,
Land,Land,2023,61.012,-44.988,Glacial Stream Igaliku Fjord,Ice,,,,snowflake,black,#FA9F42,
Land,Land,2023,60.97,-45.054,Glacial Stream Igaliku Fjord,Sediment,,,,mountain,black,#FA9F42,
Land,Land,2023,60.972,-45.052,Glacial Stream Igaliku Fjord,Sediment,,,,mountain,black,#FA9F42,
Land,Land,2023,60.909,-45.237,Glacial Stream Igaliku Fjord,Sediment,,,,mountain,black,#FA9F42,
Land,Land,2023,60.909,-45.235,Glacial Stream Igaliku Fjord,Sediment,,,,mountain,black,#FA9F42,
Land,Land,2023,60.91,-45.234,Glacial Stream Igaliku Fjord,Sediment,,,,mountain,black,#FA9F42,
Land,Land,2023,60.892,-45.271,Non-Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,61.004,-45.408,Non-Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,61.02,-45.401,Non-Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,61.022,-45.383,Non-Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,61.004,-45.408,Non-Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,61.004,-45.408,Non-Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,61.022,-45.383,Non-Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,61.02,-45.401,Non-Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,61.004,-45.408,Non-Glacial Stream Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,61.005,-45.407,Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,61.022,-45.384,Igaliku Fjord,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,61.311,-45.729,Non-Glacial Qajuuttap Sermia stream,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,61.204,-45.33,Glacial Stream Narsarsuaq,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,61.171,-45.415,Glacial Stream Narsarsuaq,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,61.204,-45.33,Glacial Stream Narsarsuaq,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,61.204,-45.33,Glacial Stream Narsarsuaq,Sediment,,,,mountain,black,#FA9F42,
Land,Land,2023,60.939,-46.043,Stream Narsaq,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,61.025,-45.635,Stream Narsaq,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,61.014,-45.74,Stream Narsaq,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,60.98,-45.843,Stream Narsaq,Water,,,,droplet,black,#FA9F42,
Land,Land,2023,60.949,-46.012,Stream Narsaq,Water,,,,droplet,black,#FA9F42,
Land,River mouth,2023,60.975,-45.508,,River mouth,2023-07-11 17:54,GF-001-TF,,droplet,black,#FA9F42,
Land,River mouth,2023,61.17,-45.42,,River mouth,2023-07-13 6:50,GF-002-TF,,droplet,black,#FA9F42,
Land,River mouth,2023,61.196,-45.454,,River mouth,2023-07-13 8:38,GF-003-TF,,droplet,black,#FA9F42,
Land,River mouth,2023,61.216,-45.498,,River mouth,2023-07-13 10:33,GF-004-TF,,droplet,black,#FA9F42,
Land,River mouth,2023,61.252,-45.502,,River mouth,2023-07-13 11:31,GF-005-TF,,droplet,black,#FA9F42,
Land,River mouth,2023,60.965,-45.799,,River mouth,2023-07-13 17:28,GF-006-TF,,droplet,black,#FA9F42,
Land,River mouth,2023,60.965,-45.805,,River mouth,2023-07-13 18:10,GF-007-TF,,droplet,black,#FA9F42,
Land,River mouth,2023,60.112,-44.295,,River mouth,2023-07-19 11:39,GF-008-TK,,droplet,black,#FA9F42,
Land,River mouth,2023,60.143,-44.342,,River mouth,2023-07-19 12:28,GF-009-TK,,droplet,black,#FA9F42,
Land,River mouth,2023,60.168,-44.456,,River mouth,2023-07-19 13:24,GF-010-TK,,droplet,black,#FA9F42,
Land,River mouth,2023,60.161,-44.47,,River mouth,2023-07-19 14:38,GF-011-TK,,droplet,black,#FA9F42,
Land,River mouth,2023,60.047,-44.524,,River mouth,2023-07-19 15:39,GF-012-TK,,droplet,black,#FA9F42,
Land,River mouth,2023,60.359,-44.639,,River mouth,2023-07-19 15:45,GF-013-TS,,droplet,black,#FA9F42,
Land,River mouth,2023,60.378,-44.608,,River mouth,2023-07-22 16:30,GF-014-TS,,droplet,black,#FA9F42,
Land,River mouth,2023,60.392,-44.607,,River mouth,2023-07-22 17:17,GF-015-TS,,droplet,black,#FA9F42,
Land,River mouth,2023,60.447,-44.541,,River mouth,2023-07-22 17:57,GF-016-TS,,droplet,black,#FA9F42,
Land,River mouth,2023,60.266,-44.725,,River mouth,2023-07-22 19:15,GF-017-TS,,droplet,black,#FA9F42,
Land,River mouth,2023,60.193,-44.268,,River mouth,2023-07-25 8:15,GF-018-TK,,droplet,black,#FA9F42,
Land,River mouth,2023,60.231,-44.323,,River mouth,2023-07-25 9:10,GF-019-TK,,droplet,black,#FA9F42,
Land,River mouth,2023,60.23,-44.33,,River mouth,2023-09-25 9:50,GF-020-TK,,droplet,black,#FA9F42,
Land,River mouth,2023,60.228,-44.333,,River mouth,2023-07-25 10:10,GF-021-TK,,droplet,black,#FA9F42,
Land,River mouth,2023,60.26,-44.214,,River mouth,2023-07-25 11:22,GF-022-TK,,droplet,black,#FA9F42,
Land,River mouth,2023,60.329,-44.279,,River mouth,2023-07-25 12:09,GF-023-TK,,droplet,black,#FA9F42,
Land,River mouth,2023,60.361,-44.107,,River mouth,2023-07-26 8:17,GF-024-TK,,droplet,black,#FA9F42,
Land,River mouth,2023,60.333,-44.266,,River mouth,2023-07-25 12:43,GF-025-TK,,droplet,black,#FA9F42,
Land,River mouth,2023,60.385,-44.122,,River mouth,2023-07-26 8:50,GF-026-TK,,droplet,black,#FA9F42,
Land,River mouth,2023,60.355,-44.051,,River mouth,2023-07-26 9:51,GF-027-TK,,droplet,black,#FA9F42,
