Cluster,Group,Year,Lat,Lon,Location,Type,Time,Station ID,Link to paper,icon,text_color,background_color,Extra
Biodiversity,Soil,2023,60.981,-45.977,Narsaq,Soil,2023-08-18 15:35,S01 dil100,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.981,-45.977,Narsaq,Soil,2023-08-18 15:35,S02 dil100,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.981,-45.977,Narsaq,Soil,2023-08-18 15:35,S03 dil100,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.98,-45.977,Narsaq,Soil,2023-08-18 16:15,S04 dil100,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.98,-45.977,Narsaq,Soil,2023-08-18 16:15,S05 dil100,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.98,-45.977,Narsaq,Soil,2023-08-18 16:15,S06,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.98,-45.978,Narsaq,Soil,2023-08-18 16:38,S07,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.98,-45.978,Narsaq,Soil,2023-08-18 16:38,S08,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.98,-45.978,Narsaq,Soil,2023-08-18 16:38,S09,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.956,-46.02,Narsaq,Soil,2023-08-19 17:16,S10 dil100,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.956,-46.02,Narsaq,Soil,2023-08-19 17:16,S11,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.956,-46.02,Narsaq,Soil,2023-08-19 17:16,S12,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.955,-46.021,Narsaq,Soil,2023-08-19 17:57,S13,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.955,-46.021,Narsaq,Soil,2023-08-19 17:57,S14,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.955,-46.021,Narsaq,Soil,2023-08-19 17:57,S15,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.954,-46.023,Narsaq,Soil,2023-08-19 18:35,S16,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.954,-46.023,Narsaq,Soil,2023-08-19 18:35,S17,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.954,-46.023,Narsaq,Soil,2023-08-19 18:35,S18,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.972,-45.052,Igaliku,Soil,2023-05-28,S20,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,61.005,-45.407,Igaliku,Soil,2023-06-03,S21,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.909,-45.237,Igaliku,Soil,2023-05-31,S22,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.909,-45.235,Igaliku,Soil,2023-05-31,S23,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,61.022,-45.384,Igaliku,Soil,2023-06-05,S24,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2023,60.91,-45.234,Igaliku,Soil,2023-05-31,S25,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2022,61.022,-45.403,Igaliku,Soil,2022-08-26,S26,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2022,61.004,-45.409,Igaliku,Soil,2022-08-26,S27,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2022,60.912,-45.244,Igaliku,Soil,2022-08-27,S28,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2022,60.909,-45.256,Igaliku,Soil,2022-08-27,S29 dil100,,mountain,#00382a,#06D6A0,
Biodiversity,Soil,2022,61.197,-45.337,Igaliku,Soil,2022-08-30,S30,,mountain,#00382a,#06D6A0,
Biodiversity,Freshwater,2023,60.977,-45.05,Igaliku,Freshwater,2023-05-28,IG11,,droplet,#00382a,#06D6A0,
Biodiversity,Freshwater,2023,60.97,-45.055,Igaliku,Freshwater,2023-05-28,IG12,,droplet,#00382a,#06D6A0,
